train/reward,train/n_updates,train/policy_loss,time/fps,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,time/iterations,time/time_elapsed,train/std,time/total_timesteps
-0.095251136,99,-95.16041564941406,168,0.0,-41.18324279785156,0.0007,9.792661666870117,100,2,1.0013076066970825,500
-1.2349505,199,-72.99708557128906,172,0.0,-41.311485290527344,0.0007,3.306368589401245,200,5,1.0055015087127686,1000
8.694596,299,-318.19451904296875,173,0.0,-41.227821350097656,0.0007,71.83784484863281,300,8,1.003008246421814,1500
-1.0303801,399,-8.949872016906738,174,0.0,-41.23323059082031,0.0007,45.711727142333984,400,11,1.0033237934112549,2000
-16.462275,499,799.9428100585938,173,0.0,-41.248199462890625,0.0007,467.11981201171875,500,14,1.0037592649459839,2500
-0.09794549,599,171.6761932373047,174,0.03152287006378174,-41.23622512817383,0.0007,17.641332626342773,600,17,1.0032271146774292,3000
-3.468759,699,-83.54039001464844,174,0.0,-41.219276428222656,0.0007,4.619333744049072,700,20,1.0025423765182495,3500
-3.8253055,799,32.77372360229492,174,1.1920928955078125e-07,-41.23189163208008,0.0007,2.2236135005950928,800,22,1.0031813383102417,4000
-2.4077756,899,83.10459899902344,175,0.0,-41.242103576660156,0.0007,7.075523376464844,900,25,1.0032765865325928,4500
-6.2792664,999,0.2308799773454666,175,-1.1920928955078125e-07,-41.213077545166016,0.0007,1.6805343627929688,1000,28,1.002516746520996,5000
7.3946476,1099,-780.4290771484375,175,0.0,-41.16620635986328,0.0007,354.46746826171875,1100,31,1.0007954835891724,5500
-0.18188323,1199,-98.0675048828125,175,0.0,-41.16002655029297,0.0007,7.876771450042725,1200,34,1.0006215572357178,6000
-3.4140306,1299,-6.004478454589844,176,0.0,-41.22065353393555,0.0007,2.658846139907837,1300,36,1.0028259754180908,6500
0.64532274,1399,132.10195922851562,176,0.0,-41.250762939453125,0.0007,13.926493644714355,1400,39,1.0038046836853027,7000
1.5069585,1499,-148.67652893066406,176,0.0,-41.22132110595703,0.0007,34.5050163269043,1500,42,1.0028690099716187,7500
1.0815946,1599,381.3588562011719,175,0.0,-41.24982833862305,0.0007,99.89561462402344,1600,45,1.0038268566131592,8000
-0.45210072,1699,-44.62369155883789,172,0.0,-41.27916717529297,0.0007,28.853530883789062,1700,49,1.004925012588501,8500
0.9889498,1799,-49.13864517211914,172,5.960464477539063e-08,-41.251991271972656,0.0007,1.6583869457244873,1800,52,1.0041483640670776,9000
1.2031126,1899,-40.50965881347656,172,0.0,-41.19853591918945,0.0007,1.5620006322860718,1900,55,1.0024676322937012,9500
0.49269572,1999,-69.50804138183594,172,-1.1920928955078125e-07,-41.208946228027344,0.0007,3.6481661796569824,2000,58,1.00276780128479,10000
2.1396408,2099,46.726654052734375,172,0.0,-41.18605422973633,0.0007,3.070807933807373,2100,60,1.002044439315796,10500
-8.002755,2199,82.0597915649414,172,1.1920928955078125e-07,-41.15972900390625,0.0007,14.960321426391602,2200,63,1.0009095668792725,11000
-5.898346,2299,-2912.041748046875,172,0.0,-41.179317474365234,0.0007,5204.50830078125,2300,66,1.0017753839492798,11500
0.6907834,2399,29.346261978149414,173,-1.1920928955078125e-07,-41.242855072021484,0.0007,3.636495590209961,2400,69,1.0039684772491455,12000
-1.8602285,2499,-36.39301681518555,173,0.0,-41.203697204589844,0.0007,1.2716591358184814,2500,72,1.0028305053710938,12500
2.1288972,2599,-12.220677375793457,172,0.0,-41.22906494140625,0.0007,0.12055909633636475,2600,75,1.0036969184875488,13000
-0.9828044,2699,-86.76457214355469,170,0.0,-41.290306091308594,0.0007,5.064337730407715,2700,78,1.0056465864181519,13500
1.866897,2799,642.411376953125,169,-1.1920928955078125e-07,-41.25735092163086,0.0007,317.8690185546875,2800,82,1.0045429468154907,14000
2.0840905,2899,-84.6838150024414,169,0.0,-41.245548248291016,0.0007,5.185372352600098,2900,85,1.0042669773101807,14500
0.026456175,2999,47.5645637512207,168,0.0,-41.27678298950195,0.0007,1.7006518840789795,3000,88,1.0052101612091064,15000
-0.35729173,3099,84.84669494628906,168,0.0,-41.316978454589844,0.0007,5.584531307220459,3100,92,1.006624698638916,15500
-3.1316962,3199,-52.347740173339844,168,0.0,-41.37677764892578,0.0007,12.274297714233398,3200,94,1.008986473083496,16000
-0.32593876,3299,-11.856526374816895,168,0.0,-41.32823944091797,0.0007,0.3217271864414215,3300,97,1.0072476863861084,16500
8.086266,3399,26.258670806884766,169,-1.1920928955078125e-07,-41.28733825683594,0.0007,8.01541805267334,3400,100,1.0059289932250977,17000
0.23729248,3499,190.49087524414062,169,0.0,-41.28824234008789,0.0007,25.262752532958984,3500,103,1.0059092044830322,17500
1.4339678,3599,-155.35562133789062,169,1.1920928955078125e-07,-41.319461822509766,0.0007,20.709964752197266,3600,106,1.0071293115615845,18000
-0.7605579,3699,187.880126953125,169,5.960464477539063e-08,-41.33906936645508,0.0007,21.999874114990234,3700,108,1.0079269409179688,18500
2.1434488,3799,51.77116012573242,170,-1.1920928955078125e-07,-41.34657669067383,0.0007,2.7805323600769043,3800,111,1.0079387426376343,19000
1.7490805,3899,-148.0513458251953,170,0.0,-41.26930236816406,0.0007,16.818614959716797,3900,114,1.0057005882263184,19500
0.0032872774,4040,-62.42158889770508,171,0.0,-41.32767105102539,0.0007,2.3064730167388916,100,2,1.0075517892837524,500
-0.09866733,4140,-65.42259979248047,174,0.0,-41.35881423950195,0.0007,3.1323628425598145,100,2,1.0086711645126343,500
